NEATFO|7.0.4|
44612|48009|FUTSTK|BHARTIARTL|XX|1127572200|-1|XX|0|FUTSTK|BHARTIARTL|XX|1130596200|-1|XX|0|35470|-1775|1775|-355|355|1000|1000|5|1000|1000|5|1|N
44613|48010|FUTSTK|BHEL|XX|1127572200|-1|XX|0|FUTSTK|BHEL|XX|1130596200|-1|XX|0|21200|-1060|1060|-405|215|1000|1000|5|1000|1000|5|1|N
44615|48011|FUTSTK|BIOCON|XX|1127572200|-1|XX|0|FUTSTK|BIOCON|XX|1130596200|-1|XX|0|44755|-2240|2240|-450|650|500|500|5|500|500|5|1|N
44616|48012|FUTSTK|BOSCHLTD|XX|1127572200|-1|XX|0|FUTSTK|BOSCHLTD|XX|1130596200|-1|XX|0|2230070|-111505|111505|-22300|32340|125|125|5|125|125|5|1|N
44617|48013|FUTSTK|BPCL|XX|1127572200|-1|XX|0|FUTSTK|BPCL|XX|1130596200|-1|XX|0|88150|-4410|4410|-885|1325|500|500|5|500|500|5|1|N
44618|48014|FUTSTK|BRITANNIA|XX|1127572200|-1|XX|0|FUTSTK|BRITANNIA|XX|1130596200|-1|XX|0|300040|-15005|15005|-3000|3000|125|125|5|125|125|5|1|N
44623|48015|FUTSTK|CAIRN|XX|1127572200|-1|XX|0|FUTSTK|CAIRN|XX|1130596200|-1|XX|0|14355|-720|720|-145|150|1000|1000|5|1000|1000|5|1|N
44625|48016|FUTSTK|CANBK|XX|1127572200|-1|XX|0|FUTSTK|CANBK|XX|1130596200|-1|XX|0|26805|-1340|1340|-270|415|1000|1000|5|1000|1000|5|1|N
45093|48017|FUTSTK|CASTROLIND|XX|1127572200|-1|XX|0|FUTSTK|CASTROLIND|XX|1130596200|-1|XX|0|43795|-2190|2190|-440|440|500|500|5|500|500|5|1|N
45096|48063|FUTSTK|CEATLTD|XX|1127572200|-1|XX|0|FUTSTK|CEATLTD|XX|1130596200|-1|XX|0|120715|-6040|6040|-1210|1210|500|500|5|500|500|5|1|N
45251|48065|FUTSTK|CENTURYTEX|XX|1127572200|-1|XX|0|FUTSTK|CENTURYTEX|XX|1130596200|-1|XX|0|53010|-2650|2650|-530|825|500|500|5|500|500|5|1|N
45252|48066|FUTSTK|CESC|XX|1127572200|-1|XX|0|FUTSTK|CESC|XX|1130596200|-1|XX|0|50730|-2540|2540|-510|510|500|500|5|500|500|5|1|N
45253|48067|FUTSTK|CIPLA|XX|1127572200|-1|XX|0|FUTSTK|CIPLA|XX|1130596200|-1|XX|0|66135|-3310|3310|-665|1095|500|500|5|500|500|5|1|N
44572|47954|FUTIDX|CNXINFRA|XX|1127572200|-1|XX|0|FUTIDX|CNXINFRA|XX|1130596200|-1|XX|0|293840|-8815|8815|-2940|2940|100|100|5|100|100|5|1|N
44573|47955|FUTIDX|CNXIT|XX|1127572200|-1|XX|0|FUTIDX|CNXIT|XX|1130596200|-1|XX|0|1153200|-34600|34600|-11535|11535|25|25|5|25|25|5|1|N
44574|47960|FUTIDX|CNXPSE|XX|1127572200|-1|XX|0|FUTIDX|CNXPSE|XX|1130596200|-1|XX|0|305285|-9160|9160|-3055|3055|75|75|5|75|75|5|1|N
45254|48068|FUTSTK|COALINDIA|XX|1127572200|-1|XX|0|FUTSTK|COALINDIA|XX|1130596200|-1|XX|0|33965|-1700|1700|-340|530|1000|1000|5|1000|1000|5|1|N
45258|48069|FUTSTK|COLPAL|XX|1127572200|-1|XX|0|FUTSTK|COLPAL|XX|1130596200|-1|XX|0|190500|-9525|9525|-1905|2190|125|125|5|125|125|5|1|N
45259|48070|FUTSTK|CROMPGREAV|XX|1127572200|-1|XX|0|FUTSTK|CROMPGREAV|XX|1130596200|-1|XX|0|17045|-855|855|-170|170|2000|2000|5|2000|2000|5|1|N
45262|48071|FUTSTK|DABUR|XX|1127572200|-1|XX|0|FUTSTK|DABUR|XX|1130596200|-1|XX|0|28205|-1410|1410|-285|285|1000|1000|5|1000|1000|5|1|N
45263|48072|FUTSTK|DHFL|XX|1127572200|-1|XX|0|FUTSTK|DHFL|XX|1130596200|-1|XX|0|22610|-1135|1135|-230|230|1000|1000|5|1000|1000|5|1|N
45264|48073|FUTSTK|DISHTV|XX|1127572200|-1|XX|0|FUTSTK|DISHTV|XX|1130596200|-1|XX|0|10645|-535|535|-110|190|4000|4000|5|4000|4000|5|1|N
45265|48075|FUTSTK|DIVISLAB|XX|1127572200|-1|XX|0|FUTSTK|DIVISLAB|XX|1130596200|-1|XX|0|218630|-10935|10935|-2190|2845|125|125|5|125|125|5|1|N
35884|42000|FUTIDX|DJIA|XX|1127053800|-1|XX|0|FUTIDX|DJIA|XX|1129473000|-1|XX|0|1645000|-49500|49500|-16500|16500|25|25|250|25|25|250|1|N
43472|45084|FUTIDX|DJIA|XX|1142778600|-1|XX|0|FUTIDX|DJIA|XX|1150641000|-1|XX|0|1710000|-51500|51500|-17250|17250|25|25|250|25|25|250|1|N
45704|43472|FUTIDX|DJIA|XX|1134916200|-1|XX|0|FUTIDX|DJIA|XX|1142778600|-1|XX|0|1677250|-50500|50500|-17000|17000|25|25|250|25|25|250|1|N
45284|48076|FUTSTK|DLF|XX|1127572200|-1|XX|0|FUTSTK|DLF|XX|1130596200|-1|XX|0|12650|-635|635|-130|180|2000|2000|5|2000|2000|5|1|N
45324|48078|FUTSTK|DRREDDY|XX|1127572200|-1|XX|0|FUTSTK|DRREDDY|XX|1130596200|-1|XX|0|404820|-20245|20245|-4050|6480|125|125|5|125|125|5|1|N
45325|48079|FUTSTK|EICHERMOT|XX|1127572200|-1|XX|0|FUTSTK|EICHERMOT|XX|1130596200|-1|XX|0|1889220|-94465|94465|-18895|28340|125|125|5|125|125|5|1|N
45333|48081|FUTSTK|ENGINERSIN|XX|1127572200|-1|XX|0|FUTSTK|ENGINERSIN|XX|1130596200|-1|XX|0|19085|-955|955|-195|195|1000|1000|5|1000|1000|5|1|N
45336|48082|FUTSTK|EXIDEIND|XX|1127572200|-1|XX|0|FUTSTK|EXIDEIND|XX|1130596200|-1|XX|0|14695|-735|735|-250|150|2000|2000|5|2000|2000|5|1|N
45337|48084|FUTSTK|FEDERALBNK|XX|1127572200|-1|XX|0|FUTSTK|FEDERALBNK|XX|1130596200|-1|XX|0|6130|-310|310|-65|65|4000|4000|5|4000|4000|5|1|N
42333|44908|FUTIDX|FTSE100|XX|1142778600|-1|XX|0|FUTIDX|FTSE100|XX|1150641000|-1|XX|0|636600|-19100|19100|-6400|6400|50|50|100|50|50|100|1|N
45705|42333|FUTIDX|FTSE100|XX|1134916200|-1|XX|0|FUTIDX|FTSE100|XX|1142778600|-1|XX|0|624400|-18800|18800|-6300|6300|50|50|100|50|50|100|1|N
51495|41437|FUTIDX|FTSE100|XX|1127053800|-1|XX|0|FUTIDX|FTSE100|XX|1129473000|-1|XX|0|612300|-18400|18400|-6200|6200|50|50|100|50|50|100|1|N
45338|48085|FUTSTK|GAIL|XX|1127572200|-1|XX|0|FUTSTK|GAIL|XX|1130596200|-1|XX|0|29190|-1460|1460|-295|295|1000|1000|5|1000|1000|5|1|N
45339|48086|FUTSTK|GLENMARK|XX|1127572200|-1|XX|0|FUTSTK|GLENMARK|XX|1130596200|-1|XX|0|103200|-5160|5160|-1035|1445|250|250|5|250|250|5|1|N
45344|48087|FUTSTK|GMRINFRA|XX|1127572200|-1|XX|0|FUTSTK|GMRINFRA|XX|1130596200|-1|XX|0|1250|-65|65|-15|15|13000|13000|5|13000|13000|5|1|N
45350|48088|FUTSTK|GODREJIND|XX|1127572200|-1|XX|0|FUTSTK|GODREJIND|XX|1130596200|-1|XX|0|36370|-1820|1820|-365|365|1000|1000|5|1000|1000|5|1|N
45351|48089|FUTSTK|GRASIM|XX|1127572200|-1|XX|0|FUTSTK|GRASIM|XX|1130596200|-1|XX|0|347325|-17370|17370|-3475|5040|125|125|5|125|125|5|1|N
45372|48090|FUTSTK|HAVELLS|XX|1127572200|-1|XX|0|FUTSTK|HAVELLS|XX|1130596200|-1|XX|0|26180|-1310|1310|-290|265|1000|1000|5|1000|1000|5|1|N
45377|48091|FUTSTK|HCLTECH|XX|1127572200|-1|XX|0|FUTSTK|HCLTECH|XX|1130596200|-1|XX|0|92950|-4650|4650|-930|1025|250|250|5|250|250|5|1|N
45378|48092|FUTSTK|HDFC|XX|1127572200|-1|XX|0|FUTSTK|HDFC|XX|1130596200|-1|XX|0|118470|-5925|5925|-1185|1780|250|250|5|250|250|5|1|N
45379|48093|FUTSTK|HDFCBANK|XX|1127572200|-1|XX|0|FUTSTK|HDFCBANK|XX|1130596200|-1|XX|0|102140|-5110|5110|-1025|1790|250|250|5|250|250|5|1|N
45380|48094|FUTSTK|HDIL|XX|1127572200|-1|XX|0|FUTSTK|HDIL|XX|1130596200|-1|XX|0|6115|-305|305|-65|90|2000|2000|5|2000|2000|5|1|N
45381|48095|FUTSTK|HEROMOTOCO|XX|1127572200|-1|XX|0|FUTSTK|HEROMOTOCO|XX|1130596200|-1|XX|0|235320|-11770|11770|-2355|3765|125|125|5|125|125|5|1|N
45382|48096|FUTSTK|HEXAWARE|XX|1127572200|-1|XX|0|FUTSTK|HEXAWARE|XX|1130596200|-1|XX|0|24725|-1240|1240|-250|370|1000|1000|5|1000|1000|5|1|N
45383|48097|FUTSTK|HINDALCO|XX|1127572200|-1|XX|0|FUTSTK|HINDALCO|XX|1130596200|-1|XX|0|7900|-395|395|-80|115|2000|2000|5|2000|2000|5|1|N
45384|48099|FUTSTK|HINDPETRO|XX|1127572200|-1|XX|0|FUTSTK|HINDPETRO|XX|1130596200|-1|XX|0|80795|-4040|4040|-810|1255|500|500|5|500|500|5|1|N
45385|48100|FUTSTK|HINDUNILVR|XX|1127572200|-1|XX|0|FUTSTK|HINDUNILVR|XX|1130596200|-1|XX|0|79685|-3985|3985|-800|1195|250|250|5|250|250|5|1|N
45386|48101|FUTSTK|HINDZINC|XX|1127572200|-1|XX|0|FUTSTK|HINDZINC|XX|1130596200|-1|XX|0|13610|-680|680|-140|235|2000|2000|5|2000|2000|5|1|N
45387|48102|FUTSTK|IBREALEST|XX|1127572200|-1|XX|0|FUTSTK|IBREALEST|XX|1130596200|-1|XX|0|6620|-335|335|-70|80|4000|4000|5|4000|4000|5|1|N
45388|48103|FUTSTK|IBULHSGFIN|XX|1127572200|-1|XX|0|FUTSTK|IBULHSGFIN|XX|1130596200|-1|XX|0|76575|-3830|3830|-880|765|500|500|5|500|500|5|1|N
45390|48104|FUTSTK|ICICIBANK|XX|1127572200|-1|XX|0|FUTSTK|ICICIBANK|XX|1130596200|-1|XX|0|27230|-1365|1365|-275|275|1000|1000|5|1000|1000|5|1|N
45391|48105|FUTSTK|IDBI|XX|1127572200|-1|XX|0|FUTSTK|IDBI|XX|1130596200|-1|XX|0|5795|-290|290|-60|60|4000|4000|5|4000|4000|5|1|N
45392|48106|FUTSTK|IDEA|XX|1127572200|-1|XX|0|FUTSTK|IDEA|XX|1130596200|-1|XX|0|14725|-740|740|-150|235|2000|2000|5|2000|2000|5|1|N
45393|48107|FUTSTK|IDFC|XX|1127572200|-1|XX|0|FUTSTK|IDFC|XX|1130596200|-1|XX|0|13135|-660|660|-135|190|2000|2000|5|2000|2000|5|1|N
45394|48108|FUTSTK|IFCI|XX|1127572200|-1|XX|0|FUTSTK|IFCI|XX|1130596200|-1|XX|0|2060|-105|105|-25|25|8000|8000|5|8000|8000|5|1|N
45395|48109|FUTSTK|IGL|XX|1127572200|-1|XX|0|FUTSTK|IGL|XX|1130596200|-1|XX|0|46765|-2340|2340|-470|655|500|500|5|500|500|5|1|N
45396|48110|FUTSTK|INDIACEM|XX|1127572200|-1|XX|0|FUTSTK|INDIACEM|XX|1130596200|-1|XX|0|7330|-370|370|-75|75|4000|4000|5|4000|4000|5|1|N
36054|40062|FUTIVX|INDIAVIX|XX|1127399400|-1|XX|0|FUTIVX|INDIAVIX|XX|1128004200|-1|XX|0|239850|-12000|12000|-7200|7200|600|600|25|600|600|25|1|N
55808|36054|FUTIVX|INDIAVIX|XX|1126794600|-1|XX|0|FUTIVX|INDIAVIX|XX|1127399400|-1|XX|0|242950|-12150|12150|-7300|7300|600|600|25|600|600|25|1|N
55808|40062|FUTIVX|INDIAVIX|XX|1126794600|-1|XX|0|FUTIVX|INDIAVIX|XX|1128004200|-1|XX|0|242950|-12150|12150|-7300|7300|600|600|25|600|600|25|1|N
45397|48111|FUTSTK|INDUSINDBK|XX|1127572200|-1|XX|0|FUTSTK|INDUSINDBK|XX|1130596200|-1|XX|0|87775|-4390|4390|-880|1145|250|250|5|250|250|5|1|N
45399|48112|FUTSTK|INFY|XX|1127572200|-1|XX|0|FUTSTK|INFY|XX|1130596200|-1|XX|0|110000|-5500|5500|-1210|1100|250|250|5|250|250|5|1|N
45400|48113|FUTSTK|IOB|XX|1127572200|-1|XX|0|FUTSTK|IOB|XX|1130596200|-1|XX|0|3425|-175|175|-35|35|8000|8000|5|8000|8000|5|1|N
45401|48114|FUTSTK|IOC|XX|1127572200|-1|XX|0|FUTSTK|IOC|XX|1130596200|-1|XX|0|40315|-2015|2015|-405|665|1000|1000|5|1000|1000|5|1|N
45402|48115|FUTSTK|IRB|XX|1127572200|-1|XX|0|FUTSTK|IRB|XX|1130596200|-1|XX|0|22485|-1125|1125|-225|285|1000|1000|5|1000|1000|5|1|N
45403|48117|FUTSTK|ITC|XX|1127572200|-1|XX|0|FUTSTK|ITC|XX|1130596200|-1|XX|0|31400|-1570|1570|-315|520|1000|1000|5|1000|1000|5|1|N
45404|48118|FUTSTK|JINDALSTEL|XX|1127572200|-1|XX|0|FUTSTK|JINDALSTEL|XX|1130596200|-1|XX|0|6440|-325|325|-65|65|2000|2000|5|2000|2000|5|1|N
45405|48119|FUTSTK|JISLJALEQS|XX|1127572200|-1|XX|0|FUTSTK|JISLJALEQS|XX|1130596200|-1|XX|0|6115|-310|310|-65|65|4000|4000|5|4000|4000|5|1|N
45406|48121|FUTSTK|JPASSOCIAT|XX|1127572200|-1|XX|0|FUTSTK|JPASSOCIAT|XX|1130596200|-1|XX|0|965|-50|50|-10|15|8000|8000|5|8000|8000|5|1|N
45408|48122|FUTSTK|JSWENERGY|XX|1127572200|-1|XX|0|FUTSTK|JSWENERGY|XX|1130596200|-1|XX|0|8420|-425|425|-85|85|2000|2000|5|2000|2000|5|1|N
45409|48123|FUTSTK|JSWSTEEL|XX|1127572200|-1|XX|0|FUTSTK|JSWSTEEL|XX|1130596200|-1|XX|0|99515|-4975|4975|-995|1495|250|250|5|250|250|5|1|N
45410|48124|FUTSTK|JUBLFOOD|XX|1127572200|-1|XX|0|FUTSTK|JUBLFOOD|XX|1130596200|-1|XX|0|166590|-8330|8330|-1665|2415|250|250|5|250|250|5|1|N
45411|48125|FUTSTK|JUSTDIAL|XX|1127572200|-1|XX|0|FUTSTK|JUSTDIAL|XX|1130596200|-1|XX|0|92900|-4645|4645|-930|930|250|250|5|250|250|5|1|N
